load_zone,fuel,period,fuel_cost
Shanghai,Coal,2020,3.9895563674323498
Shanghai,Coal,2025,3.485496777994759
Shanghai,Coal,2030,3.573509939413167
Shanghai,Coal,2035,3.6637455434491573
Shanghai,Coal,2040,3.7562597095638295
Shanghai,Coal,2045,3.851109974305001
Shanghai,Coal,2050,3.948355327090421
Shanghai,Coal,2055,4.048056246894559
Shanghai,Coal,2060,4.1502747398617785
Jiangsu,Coal,2020,3.9895563674323498
Jiangsu,Coal,2025,3.485496777994759
Jiangsu,Coal,2030,3.573509939413167
Jiangsu,Coal,2035,3.6637455434491573
Jiangsu,Coal,2040,3.7562597095638295
Jiangsu,Coal,2045,3.851109974305001
Jiangsu,Coal,2050,3.948355327090421
Jiangsu,Coal,2055,4.048056246894559
Jiangsu,Coal,2060,4.1502747398617785
Zhejiang,Coal,2020,3.9895563674323498
Zhejiang,Coal,2025,3.485496777994759
Zhejiang,Coal,2030,3.573509939413167
Zhejiang,Coal,2035,3.6637455434491573
Zhejiang,Coal,2040,3.7562597095638295
Zhejiang,Coal,2045,3.851109974305001
Zhejiang,Coal,2050,3.948355327090421
Zhejiang,Coal,2055,4.048056246894559
Zhejiang,Coal,2060,4.1502747398617785
Anhui,Coal,2020,3.9895563674323498
Anhui,Coal,2025,3.596044989085916
Anhui,Coal,2030,3.6868496313654475
Anhui,Coal,2035,3.7799472046523883
Anhui,Coal,2040,3.875395608328012
Anhui,Coal,2045,3.9732542038055243
Anhui,Coal,2050,4.073583851448202
Anhui,Coal,2055,4.17644694841976
Anhui,Coal,2060,4.28190746749049
Fujian,Coal,2020,4.059548584404847
Fujian,Coal,2025,3.5428279690004847
Fujian,Coal,2030,3.632288814835115
Fujian,Coal,2035,3.7240086591329713
Fujian,Coal,2040,3.818044544436065
Fujian,Coal,2045,3.9144549536820743
Fujian,Coal,2050,4.013299846576141
Fujian,Coal,2055,4.114640696881097
Fujian,Coal,2060,4.218540530649324
Sichuan,Coal,2020,4.5394952150734
Sichuan,Coal,2025,4.116139661996907
Sichuan,Coal,2030,4.220077346512703
Sichuan,Coal,2035,4.326639587809758
Sichuan,Coal,2040,4.435892659235706
Sichuan,Coal,2045,4.547904507623255
Sichuan,Coal,2050,4.662744795547788
Sichuan,Coal,2055,4.7804849446520095
Sichuan,Coal,2060,4.901198180064605
Anhui,Uranium,2025,0.9
Fujian,Uranium,2025,0.9
Jiangsu,Uranium,2025,0.9
Shanghai,Uranium,2025,0.9
Sichuan,Uranium,2025,0.9
Zhejiang,Uranium,2025,0.9
Anhui,Uranium,2030,0.979999995231628
Fujian,Uranium,2030,0.979999995231628
Jiangsu,Uranium,2030,0.979999995231628
Shanghai,Uranium,2030,0.979999995231628
Sichuan,Uranium,2030,0.979999995231628
Zhejiang,Uranium,2030,0.979999995231628
Anhui,Uranium,2035,1.05999999046326
Fujian,Uranium,2035,1.05999999046326
Jiangsu,Uranium,2035,1.05999999046326
Shanghai,Uranium,2035,1.05999999046326
Sichuan,Uranium,2035,1.05999999046326
Zhejiang,Uranium,2035,1.05999999046326
Anhui,Uranium,2040,1.13999998569489
Fujian,Uranium,2040,1.13999998569489
Jiangsu,Uranium,2040,1.13999998569489
Shanghai,Uranium,2040,1.13999998569489
Sichuan,Uranium,2040,1.13999998569489
Zhejiang,Uranium,2040,1.13999998569489
Anhui,Uranium,2045,1.22000002861023
Fujian,Uranium,2045,1.22000002861023
Jiangsu,Uranium,2045,1.22000002861023
Shanghai,Uranium,2045,1.22000002861023
Sichuan,Uranium,2045,1.22000002861023
Zhejiang,Uranium,2045,1.22000002861023
Anhui,Uranium,2050,1.3
Fujian,Uranium,2050,1.3
Jiangsu,Uranium,2050,1.3
Shanghai,Uranium,2050,1.3
Sichuan,Uranium,2050,1.3
Zhejiang,Uranium,2050,1.3
Anhui,Uranium,2020,0.9
Fujian,Uranium,2020,0.9
Jiangsu,Uranium,2020,0.9
Shanghai,Uranium,2020,0.9
Sichuan,Uranium,2020,0.9
Zhejiang,Uranium,2020,0.9
Anhui,Uranium,2055,1.3
Fujian,Uranium,2055,1.3
Jiangsu,Uranium,2055,1.3
Shanghai,Uranium,2055,1.3
Sichuan,Uranium,2055,1.3
Zhejiang,Uranium,2055,1.3
Anhui,Uranium,2060,1.3
Fujian,Uranium,2060,1.3
Jiangsu,Uranium,2060,1.3
Shanghai,Uranium,2060,1.3
Sichuan,Uranium,2060,1.3
Zhejiang,Uranium,2060,1.3
