regional_fuel_market,period,tier,unit_cost,max_avail_at_cost
Anhui,2025,0,15.6264331817627,1000000000.0
Fujian,2025,0,15.6264331817627,526389168.0
Jiangsu,2025,0,15.6264331817627,927039282.0
Shanghai,2025,0,15.6264331817627,562001986.0
Sichuan,2025,0,15.6264331817627,61241076.0
Zhejiang,2025,0,15.6264331817627,1246543524.0
Anhui,2030,0,16.9608615875244,1000000000.0
Fujian,2030,0,16.9608615875244,526389168.0
Jiangsu,2030,0,16.9608615875244,939030233.0
Shanghai,2030,0,16.9608615875244,562001986.0
Sichuan,2030,0,16.9608615875244,61241076.0
Zhejiang,2030,0,16.9608615875244,1286513358.0
Anhui,2035,0,18.1819072723389,1000000000.0
Fujian,2035,0,18.1819072723389,526389168.0
Jiangsu,2035,0,18.1819072723389,939030233.0
Shanghai,2035,0,18.1819072723389,562001986.0
Sichuan,2035,0,18.1819072723389,61241076.0
Zhejiang,2035,0,18.1819072723389,1286513358.0
Anhui,2040,0,19.1470512390137,1000000000.0
Fujian,2040,0,19.1470512390137,526389168.0
Jiangsu,2040,0,19.1470512390137,939030233.0
Shanghai,2040,0,19.1470512390137,562001986.0
Sichuan,2040,0,19.1470512390137,61241076.0
Zhejiang,2040,0,19.1470512390137,1286513358.0
Anhui,2045,0,20.3330612182617,1000000000.0
Fujian,2045,0,20.3330612182617,526389168.0
Jiangsu,2045,0,20.3330612182617,939030233.0
Shanghai,2045,0,20.3330612182617,562001986.0
Sichuan,2045,0,20.3330612182617,61241076.0
Zhejiang,2045,0,20.3330612182617,1286513358.0
Anhui,2050,0,21.5190696716309,1000000000.0
Fujian,2050,0,21.5190696716309,526389168.0
Jiangsu,2050,0,21.5190696716309,939030233.0
Shanghai,2050,0,21.5190696716309,562001986.0
Sichuan,2050,0,21.5190696716309,61241076.0
Zhejiang,2050,0,21.5190696716309,1286513358.0
Anhui,2020,0,15.6264331817627,1000000000.0
Fujian,2020,0,15.6264331817627,526389168.0
Jiangsu,2020,0,15.6264331817627,927039282.0
Shanghai,2020,0,15.6264331817627,562001986.0
Sichuan,2020,0,15.6264331817627,61241076.0
Zhejiang,2020,0,15.6264331817627,1246543524.0
Anhui,2055,0,21.5190696716309,1000000000.0
Fujian,2055,0,21.5190696716309,526389168.0
Jiangsu,2055,0,21.5190696716309,939030233.0
Shanghai,2055,0,21.5190696716309,562001986.0
Sichuan,2055,0,21.5190696716309,61241076.0
Zhejiang,2055,0,21.5190696716309,1286513358.0
Anhui,2060,0,21.5190696716309,1000000000.0
Fujian,2060,0,21.5190696716309,526389168.0
Jiangsu,2060,0,21.5190696716309,939030233.0
Shanghai,2060,0,21.5190696716309,562001986.0
Sichuan,2060,0,21.5190696716309,61241076.0
Zhejiang,2060,0,21.5190696716309,1286513358.0
