GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Anhui-Central_PV_EP-ep-50012,2012,1439448,28789,.
Anhui-Central_PV_EP-ep-50026,2013,1439448,28789,.
Anhui-Central_PV_EP-ep-50053,2014,1439448,28789,.
Anhui-Central_PV_EP-ep-50083,2015,1439448,28789,.
Anhui-Central_PV_EP-ep-50112,2016,1439448,28789,.
Anhui-Central_PV_EP-ep-50143,2017,1439448,28789,.
Anhui-Central_PV_EP-ep-50173,2011,1439448,28789,.
Anhui-Coal_100_RC-ep-1231,2005,805257,15486,.
Anhui-Coal_100_RC-ep-1233,2009,805257,15486,.
Anhui-Coal_100_RC-ep-1234,2009,805257,15486,.
Anhui-Coal_100_RC-ep-1235,2008,805257,15486,.
Anhui-Coal_100_RC-ep-1236,2007,805257,15486,.
Anhui-Coal_100_RC-ep-1237,2006,805257,15486,.
Anhui-Coal_100_RC-ep-1238,2005,805257,15486,.
Anhui-Coal_100_RC-ep-1239,1990,805257,15486,.
Anhui-Coal_100_RC-ep-1241,1990,805257,15486,.
Anhui-Coal_Small_RC-ep-1157,1990,774286,15486,.
Anhui-Coal_Small_RC-ep-1199,1990,774286,15486,.
Anhui-Coal_Small_RC-ep-1232,1990,774286,15486,.
Anhui-Coal_Small_RC-ep-1242,1990,774286,15486,.
Anhui-EP_Coal_1000_OT-ep-3093,2018,582329,10686,.
Anhui-EP_Coal_1000_RC-ep-1152,2011,582329,10686,.
Anhui-EP_Coal_1000_RC-ep-1153,2015,582329,10686,.
Anhui-EP_Coal_1000_RC-ep-1154,2015,582329,10686,.
Anhui-EP_Coal_1000_RC-ep-1155,2015,582329,10686,.
Anhui-EP_Coal_1000_RC-ep-1156,2015,582329,10686,.
Anhui-EP_Coal_1000_RC-ep-3094,2017,582329,10686,.
Anhui-EP_Coal_1000_RC-ep-3095,2017,582329,10686,.
Anhui-EP_Coal_1000_RC-ep-3096,2017,582329,10686,.
Anhui-EP_Coal_300_OT-ep-1206,2006,628457,12086,.
Anhui-EP_Coal_300_OT-ep-1207,2006,628457,12086,.
Anhui-EP_Coal_300_OT-ep-1208,1996,628457,12086,.
Anhui-EP_Coal_300_OT-ep-1209,1996,628457,12086,.
Anhui-EP_Coal_300_OT-ep-1218,2005,628457,12086,.
