GENERATION_PROJECT,build_year,build_gen_predetermined,gen_can_retire_early
Anhui-Central_PV_EP-ep-50012,2012,14.6,0
Anhui-Central_PV_EP-ep-50026,2013,31.4,0
Anhui-Central_PV_EP-ep-50053,2014,404.1,0
Anhui-Central_PV_EP-ep-50083,2015,754.3,0
Anhui-Central_PV_EP-ep-50112,2016,2245.2,0
Anhui-Central_PV_EP-ep-50143,2017,5424.9,0
Anhui-Central_PV_EP-ep-50173,2011,4.0,0
Anhui-Coal_100_RC-ep-1231,2005,210.0,1
Anhui-Coal_100_RC-ep-1233,2009,135.0,1
Anhui-Coal_100_RC-ep-1234,2009,135.0,1
Anhui-Coal_100_RC-ep-1235,2008,135.0,1
Anhui-Coal_100_RC-ep-1236,2007,135.0,1
Anhui-Coal_100_RC-ep-1237,2006,135.0,1
Anhui-Coal_100_RC-ep-1238,2005,135.0,1
Anhui-Coal_100_RC-ep-1239,1990,135.0,1
Anhui-Coal_100_RC-ep-1241,1990,111.0,1
Anhui-Coal_Small_RC-ep-1157,1990,974.6,1
Anhui-Coal_Small_RC-ep-1199,1990,517.35,1
Anhui-Coal_Small_RC-ep-1232,1990,170.0,1
Anhui-Coal_Small_RC-ep-1242,1990,30.0,1
Anhui-EP_Coal_1000_OT-ep-3093,2018,1000.0,1
Anhui-EP_Coal_1000_RC-ep-1152,2011,1050.0,1
Anhui-EP_Coal_1000_RC-ep-1153,2015,1000.0,1
Anhui-EP_Coal_1000_RC-ep-1154,2015,1000.0,1
Anhui-EP_Coal_1000_RC-ep-1155,2015,1000.0,1
Anhui-EP_Coal_1000_RC-ep-1156,2015,1000.0,1
Anhui-EP_Coal_1000_RC-ep-3094,2017,1000.0,1
Anhui-EP_Coal_1000_RC-ep-3095,2017,1000.0,1
Anhui-EP_Coal_1000_RC-ep-3096,2017,1000.0,1
Anhui-EP_Coal_300_OT-ep-1206,2006,330.0,1
Anhui-EP_Coal_300_OT-ep-1207,2006,330.0,1
Anhui-EP_Coal_300_OT-ep-1208,1996,330.0,1
Anhui-EP_Coal_300_OT-ep-1209,1996,330.0,1
Anhui-EP_Coal_300_OT-ep-1218,2005,320.0,1
Anhui-EP_Coal_300_OT-ep-1219,2005,320.0,1
Anhui-EP_Coal_300_OT-ep-1220,2005,320.0,1
Anhui-EP_Coal_300_OT-ep-1221,2005,320.0,1
Anhui-EP_Coal_300_RC-ep-1200,2012,350.0,1
Anhui-EP_Coal_300_RC-ep-1201,2012,350.0,1
Anhui-EP_Coal_300_RC-ep-1202,2001,350.0,1
Anhui-EP_Coal_300_RC-ep-1203,2000,350.0,1
Anhui-EP_Coal_300_RC-ep-1204,2012,330.0,1
Anhui-EP_Coal_300_RC-ep-1205,2011,330.0,1
Anhui-EP_Coal_300_RC-ep-1210,1986,320.0,1
Anhui-EP_Coal_300_RC-ep-1211,1986,320.0,1
Anhui-EP_Coal_300_RC-ep-1212,2000,320.0,1
Anhui-EP_Coal_300_RC-ep-1213,2000,320.0,1
Anhui-EP_Coal_300_RC-ep-1214,2009,320.0,1
Anhui-EP_Coal_300_RC-ep-1215,2009,320.0,1
Anhui-EP_Coal_300_RC-ep-1216,1990,320.0,1
Anhui-EP_Coal_300_RC-ep-1217,1990,320.0,1
Anhui-EP_Coal_300_RC-ep-1222,2005,300.0,1
Anhui-EP_Coal_300_RC-ep-1223,1996,300.0,1
Anhui-EP_Coal_300_RC-ep-1224,2012,300.0,1
Anhui-EP_Coal_300_RC-ep-1225,2012,300.0,1
Anhui-EP_Coal_300_RC-ep-1226,1999,300.0,1
Anhui-EP_Coal_300_RC-ep-1227,1999,300.0,1
Anhui-EP_Coal_300_RC-ep-1228,2013,300.0,1
Anhui-EP_Coal_300_RC-ep-1229,2013,300.0,1
Anhui-EP_Coal_600_OT-ep-1168,2008,660.0,1
Anhui-EP_Coal_600_OT-ep-1169,2008,660.0,1
Anhui-EP_Coal_600_OT-ep-1170,2008,660.0,1
Anhui-EP_Coal_600_OT-ep-1171,2008,660.0,1
Anhui-EP_Coal_600_OT-ep-1172,2012,660.0,1
Anhui-EP_Coal_600_OT-ep-1173,2012,660.0,1
Anhui-EP_Coal_600_OT-ep-1174,2011,660.0,1
Anhui-EP_Coal_600_OT-ep-1175,2010,660.0,1
Anhui-EP_Coal_600_OT-ep-1194,2008,630.0,1
Anhui-EP_Coal_600_OT-ep-1195,2008,630.0,1
Anhui-EP_Coal_600_RC-ep-1158,2015,660.0,1
Anhui-EP_Coal_600_RC-ep-1159,2013,660.0,1
Anhui-EP_Coal_600_RC-ep-1160,2013,660.0,1
Anhui-EP_Coal_600_RC-ep-1161,2014,660.0,1
Anhui-EP_Coal_600_RC-ep-1162,2013,660.0,1
Anhui-EP_Coal_600_RC-ep-1163,2014,660.0,1
Anhui-EP_Coal_600_RC-ep-1164,2013,660.0,1
Anhui-EP_Coal_600_RC-ep-1165,2014,660.0,1
Anhui-EP_Coal_600_RC-ep-1166,2014,660.0,1
Anhui-EP_Coal_600_RC-ep-1167,2015,660.0,1
Anhui-EP_Coal_600_RC-ep-1176,2006,640.0,1
Anhui-EP_Coal_600_RC-ep-1177,2006,640.0,1
Anhui-EP_Coal_600_RC-ep-1178,2007,640.0,1
Anhui-EP_Coal_600_RC-ep-1179,2007,640.0,1
Anhui-EP_Coal_600_RC-ep-1180,2007,640.0,1
Anhui-EP_Coal_600_RC-ep-1181,2007,640.0,1
Anhui-EP_Coal_600_RC-ep-1182,2007,630.0,1
Anhui-EP_Coal_600_RC-ep-1183,2007,630.0,1
Anhui-EP_Coal_600_RC-ep-1184,2007,630.0,1
Anhui-EP_Coal_600_RC-ep-1185,2007,630.0,1
Anhui-EP_Coal_600_RC-ep-1186,2009,630.0,1
Anhui-EP_Coal_600_RC-ep-1187,2008,630.0,1
Anhui-EP_Coal_600_RC-ep-1188,2007,630.0,1
Anhui-EP_Coal_600_RC-ep-1189,2007,630.0,1
Anhui-EP_Coal_600_RC-ep-1190,2008,630.0,1
Anhui-EP_Coal_600_RC-ep-1191,2008,630.0,1
Anhui-EP_Coal_600_RC-ep-1192,1990,630.0,1
Anhui-EP_Coal_600_RC-ep-1193,1990,630.0,1
Anhui-EP_Coal_600_RC-ep-1196,2008,600.0,1
Anhui-EP_Coal_600_RC-ep-1197,2008,600.0,1
Anhui-EP_Coal_600_RC-ep-1198,2008,600.0,1
Anhui-EP_Coal_600_RC-ep-3097,2017,660.0,1
Anhui-EP_Coal_600_RC-ep-3098,2017,660.0,1
Anhui-EP_Coal_600_RC-ep-3099,2018,660.0,1
Anhui-EP_Coal_600_RC-ep-3100,2018,660.0,1
Anhui-Hydro_NonPumped-ep-30001,1981,14.35,0
Anhui-Hydro_NonPumped-ep-30032,1982,9.18,0
Anhui-Hydro_NonPumped-ep-30063,1983,10.7,0
Anhui-Hydro_NonPumped-ep-30094,1984,12.84,0
Anhui-Hydro_NonPumped-ep-30125,1985,7.31,0
Anhui-Hydro_NonPumped-ep-30156,1986,9.98,0
Anhui-Hydro_NonPumped-ep-30187,1987,23.62,0
Anhui-Hydro_NonPumped-ep-30218,1988,22.38,0
Anhui-Hydro_NonPumped-ep-30249,1989,16.76,0
Anhui-Hydro_NonPumped-ep-30280,1990,13.1,0
Anhui-Hydro_NonPumped-ep-30311,1991,16.31,0
Anhui-Hydro_NonPumped-ep-30342,1992,24.96,0
Anhui-Hydro_NonPumped-ep-30373,1993,34.86,0
Anhui-Hydro_NonPumped-ep-30404,1994,39.85,0
Anhui-Hydro_NonPumped-ep-30435,1995,27.81,0
Anhui-Hydro_NonPumped-ep-30466,1996,30.31,0
Anhui-Hydro_NonPumped-ep-30497,1997,37.0,0
Anhui-Hydro_NonPumped-ep-30528,1998,47.52,0
Anhui-Hydro_NonPumped-ep-30605,2001,25.88,0
Anhui-Hydro_NonPumped-ep-30628,2002,40.31,0
Anhui-Hydro_NonPumped-ep-30651,2003,33.81,0
Anhui-Hydro_NonPumped-ep-30674,2004,40.0,0
Anhui-Hydro_NonPumped-ep-30722,2005,50.0,0
Anhui-Hydro_NonPumped-ep-30745,2006,260.0,0
Anhui-Hydro_NonPumped-ep-30768,2007,510.0,0
Anhui-Hydro_NonPumped-ep-30792,2008,50.0,0
Anhui-Hydro_NonPumped-ep-30812,2009,60.0,0
Anhui-Hydro_NonPumped-ep-30837,2010,70.0,0
Anhui-Hydro_NonPumped-ep-30866,2012,773.3,0
Anhui-Hydro_NonPumped-ep-30903,2015,33.2,0
Anhui-Hydro_NonPumped-ep-30915,2016,40.6,0
Anhui-Hydro_NonPumped-ep-30934,2013,41.3,0
Anhui-Hydro_NonPumped-ep-30947,2017,148.9,0
Anhui-Hydro_NonPumped-ep-30975,2014,62.5,0
Anhui-Hydro_NonPumped-ep-30994,2011,311.8,0
Anhui-Hydro_Pumped-ep-35020,2000,80.0,0
Anhui-Hydro_Pumped-ep-35027,2007,600.0,0
Anhui-Hydro_Pumped-ep-35039,2020,1800.0,0
Anhui-Hydro_Pumped-ep-35040,2020,1200.0,0
Anhui-Wind_EP-ep-40078,2012,97.5,0
Anhui-Wind_EP-ep-40103,2013,196.5,0
Anhui-Wind_EP-ep-40131,2014,330.8,0
Anhui-Wind_EP-ep-40160,2015,532.4,0
Anhui-Wind_EP-ep-40186,2016,411.4,0
Anhui-Wind_EP-ep-40214,2017,407.4,0
Anhui-Wind_EP-ep-40256,2011,198.0,0
Fujian-Central_PV_EP-ep-50028,2013,26.3,0
Fujian-Central_PV_EP-ep-50057,2014,57.1,0
Fujian-Central_PV_EP-ep-50086,2015,46.0,0
Fujian-Central_PV_EP-ep-50116,2016,145.4,0
Fujian-Central_PV_EP-ep-50147,2017,649.5,0
Fujian-Central_PV_EP-ep-50175,2011,3.7,0
Fujian-Coal_100_RC-ep-1302,2006,135.0,1
Fujian-Coal_100_RC-ep-1303,2006,135.0,1
Fujian-Coal_100_RC-ep-1304,2006,135.0,1
Fujian-Coal_100_RC-ep-1305,2005,135.0,1
Fujian-Coal_100_RC-ep-1306,1990,110.0,1
Fujian-Coal_100_RC-ep-1307,2005,100.0,1
Fujian-Coal_Small_RC-ep-1248,1990,692.0,1
Fujian-Coal_Small_RC-ep-1289,1990,312.0,1
Fujian-Coal_Small_SEA-ep-1309,1990,50.0,1
Fujian-EP_Coal_1000_SEA-ep-1246,2015,1000.0,1
Fujian-EP_Coal_1000_SEA-ep-1247,2015,1000.0,1
Fujian-EP_Coal_1000_SEA-ep-3101,2017,1000.0,1
Fujian-EP_Coal_1000_SEA-ep-3102,2017,1000.0,1
Fujian-EP_Coal_300_OT-ep-1285,1999,350.0,1
Fujian-EP_Coal_300_OT-ep-1286,1999,350.0,1
Fujian-EP_Coal_300_OT-ep-1287,1988,350.0,1
Fujian-EP_Coal_300_OT-ep-1288,1988,350.0,1
Fujian-EP_Coal_300_RC-ep-1290,2011,300.0,1
Fujian-EP_Coal_300_RC-ep-1291,2011,300.0,1
Fujian-EP_Coal_300_RC-ep-1298,2012,300.0,1
Fujian-EP_Coal_300_RC-ep-1299,2011,300.0,1
Fujian-EP_Coal_300_RC-ep-1300,2010,300.0,1
Fujian-EP_Coal_300_RC-ep-1301,2009,300.0,1
Fujian-EP_Coal_300_SEA-ep-1272,2001,396.0,1
Fujian-EP_Coal_300_SEA-ep-1273,2000,396.0,1
Fujian-EP_Coal_300_SEA-ep-1292,2006,300.0,1
Fujian-EP_Coal_300_SEA-ep-1293,2005,300.0,1
Fujian-EP_Coal_300_SEA-ep-1294,2007,300.0,1
Fujian-EP_Coal_300_SEA-ep-1295,2006,300.0,1
Fujian-EP_Coal_300_SEA-ep-1296,1996,300.0,1
Fujian-EP_Coal_300_SEA-ep-1297,1995,300.0,1
Fujian-EP_Coal_600_OT-ep-1253,2010,660.0,1
Fujian-EP_Coal_600_OT-ep-1254,2010,660.0,1
Fujian-EP_Coal_600_SEA-ep-1249,2012,670.0,1
Fujian-EP_Coal_600_SEA-ep-1250,2011,670.0,1
Fujian-EP_Coal_600_SEA-ep-1251,2009,660.0,1
Fujian-EP_Coal_600_SEA-ep-1252,2009,660.0,1
Fujian-EP_Coal_600_SEA-ep-1255,2006,600.0,1
Fujian-EP_Coal_600_SEA-ep-1256,2006,600.0,1
Fujian-EP_Coal_600_SEA-ep-1257,2008,600.0,1
Fujian-EP_Coal_600_SEA-ep-1258,2008,600.0,1
Fujian-EP_Coal_600_SEA-ep-1259,2006,600.0,1
Fujian-EP_Coal_600_SEA-ep-1260,2006,600.0,1
Fujian-EP_Coal_600_SEA-ep-1261,2011,600.0,1
Fujian-EP_Coal_600_SEA-ep-1262,2011,600.0,1
Fujian-EP_Coal_600_SEA-ep-1263,2007,600.0,1
Fujian-EP_Coal_600_SEA-ep-1264,2007,600.0,1
