GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Anhui-Coal_1000_OT-12107,0.4,8.471
Anhui-Coal_1000_OT-12107,1.0,7.88
Anhui-Coal_1000_RC-12115,0.4,8.471
Anhui-Coal_1000_RC-12115,1.0,7.88
Anhui-Coal_1000_RC-12125,0.4,8.471
Anhui-Coal_1000_RC-12125,1.0,7.88
Anhui-Coal_300_OT-12111,0.4,9.589
Anhui-Coal_300_OT-12111,1.0,8.92
Anhui-Coal_300_RC-12119,0.4,9.589
Anhui-Coal_300_RC-12119,1.0,8.92
Anhui-Coal_300_RC-12129,0.4,9.589
Anhui-Coal_300_RC-12129,1.0,8.92
Anhui-Coal_600_OT-12109,0.4,9.08375
Anhui-Coal_600_OT-12109,1.0,8.45
Anhui-Coal_600_RC-12117,0.4,9.08375
Anhui-Coal_600_RC-12117,1.0,8.45
Anhui-Coal_600_RC-12127,0.4,9.08375
Anhui-Coal_600_RC-12127,1.0,8.45
Anhui-Coal_IGCC_RC-12121,0.4,12.75715
Anhui-Coal_IGCC_RC-12121,1.0,8.89
Anhui-Coal_IGCC_RC-12131,0.4,12.75715
Anhui-Coal_IGCC_RC-12131,1.0,8.89
Anhui-Gas_CCGT_OT-12113,0.45,8.88978
Anhui-Gas_CCGT_OT-12113,1.0,6.47
Anhui-Gas_CCGT_RC-12123,0.45,9.64548
Anhui-Gas_CCGT_RC-12123,1.0,7.02
Anhui-Gas_CCGT_RC-12133,0.45,9.64548
Anhui-Gas_CCGT_RC-12133,1.0,7.02
Anhui-Gas_Combustion_Turbine_RC-13107,0.4,11.03368
Anhui-Gas_Combustion_Turbine_RC-13107,1.0,9.76
Fujian-Coal_1000_OT-12153,0.4,8.471
Fujian-Coal_1000_OT-12153,1.0,7.88
Fujian-Coal_1000_RC-12135,0.4,8.471
Fujian-Coal_1000_RC-12135,1.0,7.88
Fujian-Coal_1000_RC-12161,0.4,8.471
Fujian-Coal_1000_RC-12161,1.0,7.88
Fujian-Coal_1000_RC-12171,0.4,8.471
Fujian-Coal_1000_RC-12171,1.0,7.88
Fujian-Coal_1000_SEA-12145,0.4,8.471
Fujian-Coal_1000_SEA-12145,1.0,7.88
Fujian-Coal_1000_SEA-12181,0.4,8.471
Fujian-Coal_1000_SEA-12181,1.0,7.88
Fujian-Coal_300_OT-12157,0.4,9.589
Fujian-Coal_300_OT-12157,1.0,8.92
Fujian-Coal_300_RC-12139,0.4,9.589
Fujian-Coal_300_RC-12139,1.0,8.92
Fujian-Coal_300_RC-12165,0.4,9.589
Fujian-Coal_300_RC-12165,1.0,8.92
Fujian-Coal_300_RC-12175,0.4,9.589
Fujian-Coal_300_RC-12175,1.0,8.92
Fujian-Coal_300_SEA-12149,0.4,9.589
Fujian-Coal_300_SEA-12149,1.0,8.92
Fujian-Coal_300_SEA-12185,0.4,9.589
Fujian-Coal_300_SEA-12185,1.0,8.92
Fujian-Coal_600_OT-12155,0.4,9.08375
Fujian-Coal_600_OT-12155,1.0,8.45
Fujian-Coal_600_RC-12137,0.4,9.08375
Fujian-Coal_600_RC-12137,1.0,8.45
Fujian-Coal_600_RC-12163,0.4,9.08375
Fujian-Coal_600_RC-12163,1.0,8.45
Fujian-Coal_600_RC-12173,0.4,9.08375
Fujian-Coal_600_RC-12173,1.0,8.45
Fujian-Coal_600_SEA-12147,0.4,9.08375
Fujian-Coal_600_SEA-12147,1.0,8.45
Fujian-Coal_600_SEA-12183,0.4,9.08375
Fujian-Coal_600_SEA-12183,1.0,8.45
Fujian-Coal_IGCC_RC-12141,0.4,12.75715
Fujian-Coal_IGCC_RC-12141,1.0,8.89
Fujian-Coal_IGCC_RC-12167,0.4,12.75715
Fujian-Coal_IGCC_RC-12167,1.0,8.89
Fujian-Coal_IGCC_RC-12177,0.4,12.75715
Fujian-Coal_IGCC_RC-12177,1.0,8.89
Fujian-Gas_CCGT_OT-12159,0.45,8.88978
Fujian-Gas_CCGT_OT-12159,1.0,6.47
Fujian-Gas_CCGT_RC-12143,0.45,9.64548
Fujian-Gas_CCGT_RC-12143,1.0,7.02
Fujian-Gas_CCGT_RC-12169,0.45,9.64548
Fujian-Gas_CCGT_RC-12169,1.0,7.02
Fujian-Gas_CCGT_RC-12179,0.45,9.64548
Fujian-Gas_CCGT_RC-12179,1.0,7.02
Fujian-Gas_CCGT_SEA-12151,0.45,8.88978
Fujian-Gas_CCGT_SEA-12151,1.0,6.47
Fujian-Gas_CCGT_SEA-12187,0.45,8.88978
