hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
Anhui-Hydro_NonPumped-ep-30001,2027.01.22,0.565749480542118,1.13149896108424
Anhui-Hydro_NonPumped-ep-30001,2027.02.08,0.751386044792593,1.50277208958519
Anhui-Hydro_NonPumped-ep-30001,2027.03.21,1.2007443638547,2.40148872770939
Anhui-Hydro_NonPumped-ep-30001,2027.04.11,1.38490759880443,2.76981519760887
Anhui-Hydro_NonPumped-ep-30001,2027.05.22,2.04789528222624,4.09579056445248
Anhui-Hydro_NonPumped-ep-30001,2027.06.16,3.07920943554752,6.15841887109504
Anhui-Hydro_NonPumped-ep-30001,2027.07.22,6.8019,13.6038
Anhui-Hydro_NonPumped-ep-30001,2027.08.19,4.55251539572274,9.10503079144549
Anhui-Hydro_NonPumped-ep-30001,2027.09.20,2.5267197038392,5.0534394076784
Anhui-Hydro_NonPumped-ep-30001,2027.10.26,1.68693532453492,3.37387064906985
Anhui-Hydro_NonPumped-ep-30001,2027.11.19,1.17127823444473,2.34255646888946
Anhui-Hydro_NonPumped-ep-30001,2027.12.16,0.716763343407363,1.43352668681473
Anhui-Hydro_NonPumped-ep-30001,2032.01.22,0.565749480542118,1.13149896108424
Anhui-Hydro_NonPumped-ep-30001,2032.02.08,0.751386044792593,1.50277208958519
Anhui-Hydro_NonPumped-ep-30001,2032.03.21,1.2007443638547,2.40148872770939
Anhui-Hydro_NonPumped-ep-30001,2032.04.11,1.38490759880443,2.76981519760887
Anhui-Hydro_NonPumped-ep-30001,2032.05.22,2.04789528222624,4.09579056445248
Anhui-Hydro_NonPumped-ep-30001,2032.06.16,3.07920943554752,6.15841887109504
Anhui-Hydro_NonPumped-ep-30001,2032.07.22,6.8019,13.6038
Anhui-Hydro_NonPumped-ep-30001,2032.08.19,4.55251539572274,9.10503079144549
Anhui-Hydro_NonPumped-ep-30001,2032.09.20,2.5267197038392,5.0534394076784
Anhui-Hydro_NonPumped-ep-30001,2032.10.26,1.68693532453492,3.37387064906985
Anhui-Hydro_NonPumped-ep-30001,2032.11.19,1.17127823444473,2.34255646888946
Anhui-Hydro_NonPumped-ep-30001,2032.12.16,0.716763343407363,1.43352668681473
Anhui-Hydro_NonPumped-ep-30001,2037.01.22,0.565749480542118,1.13149896108424
Anhui-Hydro_NonPumped-ep-30001,2037.02.08,0.751386044792593,1.50277208958519
Anhui-Hydro_NonPumped-ep-30001,2037.03.21,1.2007443638547,2.40148872770939
Anhui-Hydro_NonPumped-ep-30001,2037.04.11,1.38490759880443,2.76981519760887
Anhui-Hydro_NonPumped-ep-30001,2037.05.22,2.04789528222624,4.09579056445248
Anhui-Hydro_NonPumped-ep-30001,2037.06.16,3.07920943554752,6.15841887109504
Anhui-Hydro_NonPumped-ep-30001,2037.07.22,6.8019,13.6038
Anhui-Hydro_NonPumped-ep-30001,2037.08.19,4.55251539572274,9.10503079144549
Anhui-Hydro_NonPumped-ep-30001,2037.09.20,2.5267197038392,5.0534394076784
Anhui-Hydro_NonPumped-ep-30001,2037.10.26,1.68693532453492,3.37387064906985
Anhui-Hydro_NonPumped-ep-30001,2037.11.19,1.17127823444473,2.34255646888946
Anhui-Hydro_NonPumped-ep-30001,2037.12.16,0.716763343407363,1.43352668681473
Anhui-Hydro_NonPumped-ep-30001,2042.01.22,0.565749480542118,1.13149896108424
Anhui-Hydro_NonPumped-ep-30001,2042.02.08,0.751386044792593,1.50277208958519
Anhui-Hydro_NonPumped-ep-30001,2042.03.21,1.2007443638547,2.40148872770939
