LOAD_ZONE,TIMEPOINT,zone_demand_mw
Shanghai,2022.01.22.00,15024.308158292673
Shanghai,2022.01.22.04,14461.501206837125
Shanghai,2022.01.22.08,19161.912431422385
Shanghai,2022.01.22.12,20396.00402952905
Shanghai,2022.01.22.16,20023.90158474523
Shanghai,2022.01.22.20,18803.693602178337
Shanghai,2022.02.08.00,15024.308158292673
Shanghai,2022.02.08.04,14461.501206837125
Shanghai,2022.02.08.08,19161.912431422385
Shanghai,2022.02.08.12,20396.00402952905
Shanghai,2022.02.08.16,20023.90158474523
Shanghai,2022.02.08.20,18803.693602178337
Shanghai,2022.03.21.00,15024.308158292673
Shanghai,2022.03.21.04,14461.501206837125
Shanghai,2022.03.21.08,19161.912431422385
Shanghai,2022.03.21.12,20396.00402952905
Shanghai,2022.03.21.16,20023.90158474523
Shanghai,2022.03.21.20,18803.693602178337
Shanghai,2022.04.11.00,15024.308158292673
Shanghai,2022.04.11.04,14461.501206837125
Shanghai,2022.04.11.08,19161.912431422385
Shanghai,2022.04.11.12,20396.00402952905
Shanghai,2022.04.11.16,20023.90158474523
Shanghai,2022.04.11.20,18803.693602178337
Shanghai,2022.05.22.00,15024.308158292673
Shanghai,2022.05.22.04,14461.501206837125
Shanghai,2022.05.22.08,19161.912431422385
Shanghai,2022.05.22.12,20396.00402952905
Shanghai,2022.05.22.16,20023.90158474523
Shanghai,2022.05.22.20,18803.693602178337
Shanghai,2022.06.16.00,15024.308158292673
Shanghai,2022.06.16.04,14461.501206837125
Shanghai,2022.06.16.08,19161.912431422385
Shanghai,2022.06.16.12,20396.00402952905
Shanghai,2022.06.16.16,20023.90158474523
Shanghai,2022.06.16.20,18803.693602178337
Shanghai,2022.07.22.00,15024.308158292673
Shanghai,2022.07.22.04,14461.501206837125
Shanghai,2022.07.22.08,19161.912431422385
Shanghai,2022.07.22.12,20396.00402952905
Shanghai,2022.07.22.16,20023.90158474523
Shanghai,2022.07.22.20,18803.693602178337
Shanghai,2022.08.19.00,15024.308158292673
Shanghai,2022.08.19.04,14461.501206837125
Shanghai,2022.08.19.08,19161.912431422385
Shanghai,2022.08.19.12,20396.00402952905
Shanghai,2022.08.19.16,20023.90158474523
Shanghai,2022.08.19.20,18803.693602178337
Shanghai,2022.09.20.00,15024.308158292673
Shanghai,2022.09.20.04,14461.501206837125
Shanghai,2022.09.20.08,19161.912431422385
Shanghai,2022.09.20.12,20396.00402952905
Shanghai,2022.09.20.16,20023.90158474523
Shanghai,2022.09.20.20,18803.693602178337
Shanghai,2022.10.26.00,15024.308158292673
Shanghai,2022.10.26.04,14461.501206837125
Shanghai,2022.10.26.08,19161.912431422385
Shanghai,2022.10.26.12,20396.00402952905
Shanghai,2022.10.26.16,20023.90158474523
Shanghai,2022.10.26.20,18803.693602178337
Shanghai,2022.11.19.00,15024.308158292673
Shanghai,2022.11.19.04,14461.501206837125
Shanghai,2022.11.19.08,19161.912431422385
Shanghai,2022.11.19.12,20396.00402952905
Shanghai,2022.11.19.16,20023.90158474523
Shanghai,2022.11.19.20,18803.693602178337
Shanghai,2022.12.16.00,15024.308158292673
Shanghai,2022.12.16.04,14461.501206837125
Shanghai,2022.12.16.08,19161.912431422385
Shanghai,2022.12.16.12,20396.00402952905
Shanghai,2022.12.16.16,20023.90158474523
Shanghai,2022.12.16.20,18803.693602178337
Shanghai,2027.01.22.00,19856.552532334164
Shanghai,2027.01.22.04,19112.730874830973
Shanghai,2027.01.22.08,25324.927897229947
Shanghai,2027.01.22.12,26955.938416272835
Shanghai,2027.01.22.16,26464.157253079524
