timepoint_id,timestamp,timeseries
2022.01.22.00,2022-01-22_00:00,2022.01.22
2022.01.22.04,2022-01-22_04:00,2022.01.22
2022.01.22.08,2022-01-22_08:00,2022.01.22
2022.01.22.12,2022-01-22_12:00,2022.01.22
2022.01.22.16,2022-01-22_16:00,2022.01.22
2022.01.22.20,2022-01-22_20:00,2022.01.22
2022.02.08.00,2022-02-08_00:00,2022.02.08
2022.02.08.04,2022-02-08_04:00,2022.02.08
2022.02.08.08,2022-02-08_08:00,2022.02.08
2022.02.08.12,2022-02-08_12:00,2022.02.08
2022.02.08.16,2022-02-08_16:00,2022.02.08
2022.02.08.20,2022-02-08_20:00,2022.02.08
2022.03.21.00,2022-03-21_00:00,2022.03.21
2022.03.21.04,2022-03-21_04:00,2022.03.21
2022.03.21.08,2022-03-21_08:00,2022.03.21
2022.03.21.12,2022-03-21_12:00,2022.03.21
2022.03.21.16,2022-03-21_16:00,2022.03.21
2022.03.21.20,2022-03-21_20:00,2022.03.21
2022.04.11.00,2022-04-11_00:00,2022.04.11
2022.04.11.04,2022-04-11_04:00,2022.04.11
2022.04.11.08,2022-04-11_08:00,2022.04.11
2022.04.11.12,2022-04-11_12:00,2022.04.11
2022.04.11.16,2022-04-11_16:00,2022.04.11
2022.04.11.20,2022-04-11_20:00,2022.04.11
2022.05.22.00,2022-05-22_00:00,2022.05.22
2022.05.22.04,2022-05-22_04:00,2022.05.22
2022.05.22.08,2022-05-22_08:00,2022.05.22
2022.05.22.12,2022-05-22_12:00,2022.05.22
2022.05.22.16,2022-05-22_16:00,2022.05.22
2022.05.22.20,2022-05-22_20:00,2022.05.22
2022.06.16.00,2022-06-16_00:00,2022.06.16
2022.06.16.04,2022-06-16_04:00,2022.06.16
2022.06.16.08,2022-06-16_08:00,2022.06.16
2022.06.16.12,2022-06-16_12:00,2022.06.16
2022.06.16.16,2022-06-16_16:00,2022.06.16
2022.06.16.20,2022-06-16_20:00,2022.06.16
2022.07.22.00,2022-07-22_00:00,2022.07.22
2022.07.22.04,2022-07-22_04:00,2022.07.22
2022.07.22.08,2022-07-22_08:00,2022.07.22
2022.07.22.12,2022-07-22_12:00,2022.07.22
2022.07.22.16,2022-07-22_16:00,2022.07.22
2022.07.22.20,2022-07-22_20:00,2022.07.22
2022.08.19.00,2022-08-19_00:00,2022.08.19
2022.08.19.04,2022-08-19_04:00,2022.08.19
2022.08.19.08,2022-08-19_08:00,2022.08.19
2022.08.19.12,2022-08-19_12:00,2022.08.19
2022.08.19.16,2022-08-19_16:00,2022.08.19
2022.08.19.20,2022-08-19_20:00,2022.08.19
2022.09.20.00,2022-09-20_00:00,2022.09.20
2022.09.20.04,2022-09-20_04:00,2022.09.20
2022.09.20.08,2022-09-20_08:00,2022.09.20
2022.09.20.12,2022-09-20_12:00,2022.09.20
2022.09.20.16,2022-09-20_16:00,2022.09.20
2022.09.20.20,2022-09-20_20:00,2022.09.20
2022.10.26.00,2022-10-26_00:00,2022.10.26
2022.10.26.04,2022-10-26_04:00,2022.10.26
2022.10.26.08,2022-10-26_08:00,2022.10.26
2022.10.26.12,2022-10-26_12:00,2022.10.26
2022.10.26.16,2022-10-26_16:00,2022.10.26
2022.10.26.20,2022-10-26_20:00,2022.10.26
2022.11.19.00,2022-11-19_00:00,2022.11.19
2022.11.19.04,2022-11-19_04:00,2022.11.19
2022.11.19.08,2022-11-19_08:00,2022.11.19
2022.11.19.12,2022-11-19_12:00,2022.11.19
2022.11.19.16,2022-11-19_16:00,2022.11.19
2022.11.19.20,2022-11-19_20:00,2022.11.19
2022.12.16.00,2022-12-16_00:00,2022.12.16
2022.12.16.04,2022-12-16_04:00,2022.12.16
2022.12.16.08,2022-12-16_08:00,2022.12.16
2022.12.16.12,2022-12-16_12:00,2022.12.16
2022.12.16.16,2022-12-16_16:00,2022.12.16
2022.12.16.20,2022-12-16_20:00,2022.12.16
2027.01.22.00,2027-01-22_00:00,2027.01.22
2027.01.22.04,2027-01-22_04:00,2027.01.22
2027.01.22.08,2027-01-22_08:00,2027.01.22
2027.01.22.12,2027-01-22_12:00,2027.01.22
2027.01.22.16,2027-01-22_16:00,2027.01.22
2027.01.22.20,2027-01-22_20:00,2027.01.22
2027.02.08.00,2027-02-08_00:00,2027.02.08
2027.02.08.04,2027-02-08_04:00,2027.02.08
2027.02.08.08,2027-02-08_08:00,2027.02.08
2027.02.08.12,2027-02-08_12:00,2027.02.08
2027.02.08.16,2027-02-08_16:00,2027.02.08
2027.02.08.20,2027-02-08_20:00,2027.02.08
2027.03.21.00,2027-03-21_00:00,2027.03.21
2027.03.21.04,2027-03-21_04:00,2027.03.21
2027.03.21.08,2027-03-21_08:00,2027.03.21
2027.03.21.12,2027-03-21_12:00,2027.03.21
2027.03.21.16,2027-03-21_16:00,2027.03.21
2027.03.21.20,2027-03-21_20:00,2027.03.21
2027.04.11.00,2027-04-11_00:00,2027.04.11
2027.04.11.04,2027-04-11_04:00,2027.04.11
2027.04.11.08,2027-04-11_08:00,2027.04.11
2027.04.11.12,2027-04-11_12:00,2027.04.11
2027.04.11.16,2027-04-11_16:00,2027.04.11
2027.04.11.20,2027-04-11_20:00,2027.04.11
2027.05.22.00,2027-05-22_00:00,2027.05.22
2027.05.22.04,2027-05-22_04:00,2027.05.22
2027.05.22.08,2027-05-22_08:00,2027.05.22
2027.05.22.12,2027-05-22_12:00,2027.05.22
2027.05.22.16,2027-05-22_16:00,2027.05.22
2027.05.22.20,2027-05-22_20:00,2027.05.22
2027.06.16.00,2027-06-16_00:00,2027.06.16
2027.06.16.04,2027-06-16_04:00,2027.06.16
2027.06.16.08,2027-06-16_08:00,2027.06.16
2027.06.16.12,2027-06-16_12:00,2027.06.16
2027.06.16.16,2027-06-16_16:00,2027.06.16
2027.06.16.20,2027-06-16_20:00,2027.06.16
2027.07.22.00,2027-07-22_00:00,2027.07.22
2027.07.22.04,2027-07-22_04:00,2027.07.22
2027.07.22.08,2027-07-22_08:00,2027.07.22
2027.07.22.12,2027-07-22_12:00,2027.07.22
2027.07.22.16,2027-07-22_16:00,2027.07.22
2027.07.22.20,2027-07-22_20:00,2027.07.22
2027.08.19.00,2027-08-19_00:00,2027.08.19
2027.08.19.04,2027-08-19_04:00,2027.08.19
2027.08.19.08,2027-08-19_08:00,2027.08.19
2027.08.19.12,2027-08-19_12:00,2027.08.19
2027.08.19.16,2027-08-19_16:00,2027.08.19
2027.08.19.20,2027-08-19_20:00,2027.08.19
2027.09.20.00,2027-09-20_00:00,2027.09.20
2027.09.20.04,2027-09-20_04:00,2027.09.20
2027.09.20.08,2027-09-20_08:00,2027.09.20
2027.09.20.12,2027-09-20_12:00,2027.09.20
2027.09.20.16,2027-09-20_16:00,2027.09.20
2027.09.20.20,2027-09-20_20:00,2027.09.20
2027.10.26.00,2027-10-26_00:00,2027.10.26
2027.10.26.04,2027-10-26_04:00,2027.10.26
2027.10.26.08,2027-10-26_08:00,2027.10.26
2027.10.26.12,2027-10-26_12:00,2027.10.26
2027.10.26.16,2027-10-26_16:00,2027.10.26
2027.10.26.20,2027-10-26_20:00,2027.10.26
2027.11.19.00,2027-11-19_00:00,2027.11.19
2027.11.19.04,2027-11-19_04:00,2027.11.19
2027.11.19.08,2027-11-19_08:00,2027.11.19
2027.11.19.12,2027-11-19_12:00,2027.11.19
2027.11.19.16,2027-11-19_16:00,2027.11.19
2027.11.19.20,2027-11-19_20:00,2027.11.19
2027.12.16.00,2027-12-16_00:00,2027.12.16
2027.12.16.04,2027-12-16_04:00,2027.12.16
2027.12.16.08,2027-12-16_08:00,2027.12.16
2027.12.16.12,2027-12-16_12:00,2027.12.16
2027.12.16.16,2027-12-16_16:00,2027.12.16
2027.12.16.20,2027-12-16_20:00,2027.12.16
2032.01.22.00,2032-01-22_00:00,2032.01.22
2032.01.22.04,2032-01-22_04:00,2032.01.22
2032.01.22.08,2032-01-22_08:00,2032.01.22
2032.01.22.12,2032-01-22_12:00,2032.01.22
2032.01.22.16,2032-01-22_16:00,2032.01.22
2032.01.22.20,2032-01-22_20:00,2032.01.22
2032.02.08.00,2032-02-08_00:00,2032.02.08
2032.02.08.04,2032-02-08_04:00,2032.02.08
2032.02.08.08,2032-02-08_08:00,2032.02.08
2032.02.08.12,2032-02-08_12:00,2032.02.08
2032.02.08.16,2032-02-08_16:00,2032.02.08
2032.02.08.20,2032-02-08_20:00,2032.02.08
2032.03.21.00,2032-03-21_00:00,2032.03.21
2032.03.21.04,2032-03-21_04:00,2032.03.21
2032.03.21.08,2032-03-21_08:00,2032.03.21
2032.03.21.12,2032-03-21_12:00,2032.03.21
2032.03.21.16,2032-03-21_16:00,2032.03.21
2032.03.21.20,2032-03-21_20:00,2032.03.21
2032.04.11.00,2032-04-11_00:00,2032.04.11
2032.04.11.04,2032-04-11_04:00,2032.04.11
2032.04.11.08,2032-04-11_08:00,2032.04.11
2032.04.11.12,2032-04-11_12:00,2032.04.11
2032.04.11.16,2032-04-11_16:00,2032.04.11
2032.04.11.20,2032-04-11_20:00,2032.04.11
2032.05.22.00,2032-05-22_00:00,2032.05.22
2032.05.22.04,2032-05-22_04:00,2032.05.22
2032.05.22.08,2032-05-22_08:00,2032.05.22
2032.05.22.12,2032-05-22_12:00,2032.05.22
2032.05.22.16,2032-05-22_16:00,2032.05.22
2032.05.22.20,2032-05-22_20:00,2032.05.22
2032.06.16.00,2032-06-16_00:00,2032.06.16
2032.06.16.04,2032-06-16_04:00,2032.06.16
2032.06.16.08,2032-06-16_08:00,2032.06.16
2032.06.16.12,2032-06-16_12:00,2032.06.16
2032.06.16.16,2032-06-16_16:00,2032.06.16
2032.06.16.20,2032-06-16_20:00,2032.06.16
2032.07.22.00,2032-07-22_00:00,2032.07.22
2032.07.22.04,2032-07-22_04:00,2032.07.22
2032.07.22.08,2032-07-22_08:00,2032.07.22
2032.07.22.12,2032-07-22_12:00,2032.07.22
2032.07.22.16,2032-07-22_16:00,2032.07.22
2032.07.22.20,2032-07-22_20:00,2032.07.22
2032.08.19.00,2032-08-19_00:00,2032.08.19
2032.08.19.04,2032-08-19_04:00,2032.08.19
2032.08.19.08,2032-08-19_08:00,2032.08.19
2032.08.19.12,2032-08-19_12:00,2032.08.19
2032.08.19.16,2032-08-19_16:00,2032.08.19
2032.08.19.20,2032-08-19_20:00,2032.08.19
2032.09.20.00,2032-09-20_00:00,2032.09.20
2032.09.20.04,2032-09-20_04:00,2032.09.20
2032.09.20.08,2032-09-20_08:00,2032.09.20
2032.09.20.12,2032-09-20_12:00,2032.09.20
2032.09.20.16,2032-09-20_16:00,2032.09.20
2032.09.20.20,2032-09-20_20:00,2032.09.20
2032.10.26.00,2032-10-26_00:00,2032.10.26
2032.10.26.04,2032-10-26_04:00,2032.10.26
2032.10.26.08,2032-10-26_08:00,2032.10.26
2032.10.26.12,2032-10-26_12:00,2032.10.26
2032.10.26.16,2032-10-26_16:00,2032.10.26
2032.10.26.20,2032-10-26_20:00,2032.10.26
2032.11.19.00,2032-11-19_00:00,2032.11.19
2032.11.19.04,2032-11-19_04:00,2032.11.19
2032.11.19.08,2032-11-19_08:00,2032.11.19
2032.11.19.12,2032-11-19_12:00,2032.11.19
2032.11.19.16,2032-11-19_16:00,2032.11.19
2032.11.19.20,2032-11-19_20:00,2032.11.19
2032.12.16.00,2032-12-16_00:00,2032.12.16
2032.12.16.04,2032-12-16_04:00,2032.12.16
2032.12.16.08,2032-12-16_08:00,2032.12.16
2032.12.16.12,2032-12-16_12:00,2032.12.16
2032.12.16.16,2032-12-16_16:00,2032.12.16
2032.12.16.20,2032-12-16_20:00,2032.12.16
2037.01.22.00,2037-01-22_00:00,2037.01.22
2037.01.22.04,2037-01-22_04:00,2037.01.22
2037.01.22.08,2037-01-22_08:00,2037.01.22
2037.01.22.12,2037-01-22_12:00,2037.01.22
2037.01.22.16,2037-01-22_16:00,2037.01.22
2037.01.22.20,2037-01-22_20:00,2037.01.22
2037.02.08.00,2037-02-08_00:00,2037.02.08
2037.02.08.04,2037-02-08_04:00,2037.02.08
2037.02.08.08,2037-02-08_08:00,2037.02.08
2037.02.08.12,2037-02-08_12:00,2037.02.08
2037.02.08.16,2037-02-08_16:00,2037.02.08
2037.02.08.20,2037-02-08_20:00,2037.02.08
2037.03.21.00,2037-03-21_00:00,2037.03.21
2037.03.21.04,2037-03-21_04:00,2037.03.21
2037.03.21.08,2037-03-21_08:00,2037.03.21
2037.03.21.12,2037-03-21_12:00,2037.03.21
2037.03.21.16,2037-03-21_16:00,2037.03.21
2037.03.21.20,2037-03-21_20:00,2037.03.21
2037.04.11.00,2037-04-11_00:00,2037.04.11
2037.04.11.04,2037-04-11_04:00,2037.04.11
2037.04.11.08,2037-04-11_08:00,2037.04.11
2037.04.11.12,2037-04-11_12:00,2037.04.11
2037.04.11.16,2037-04-11_16:00,2037.04.11
2037.04.11.20,2037-04-11_20:00,2037.04.11
2037.05.22.00,2037-05-22_00:00,2037.05.22
2037.05.22.04,2037-05-22_04:00,2037.05.22
2037.05.22.08,2037-05-22_08:00,2037.05.22
2037.05.22.12,2037-05-22_12:00,2037.05.22
2037.05.22.16,2037-05-22_16:00,2037.05.22
2037.05.22.20,2037-05-22_20:00,2037.05.22
2037.06.16.00,2037-06-16_00:00,2037.06.16
2037.06.16.04,2037-06-16_04:00,2037.06.16
2037.06.16.08,2037-06-16_08:00,2037.06.16
2037.06.16.12,2037-06-16_12:00,2037.06.16
2037.06.16.16,2037-06-16_16:00,2037.06.16
2037.06.16.20,2037-06-16_20:00,2037.06.16
2037.07.22.00,2037-07-22_00:00,2037.07.22
2037.07.22.04,2037-07-22_04:00,2037.07.22
2037.07.22.08,2037-07-22_08:00,2037.07.22
2037.07.22.12,2037-07-22_12:00,2037.07.22
2037.07.22.16,2037-07-22_16:00,2037.07.22
2037.07.22.20,2037-07-22_20:00,2037.07.22
2037.08.19.00,2037-08-19_00:00,2037.08.19
2037.08.19.04,2037-08-19_04:00,2037.08.19
2037.08.19.08,2037-08-19_08:00,2037.08.19
2037.08.19.12,2037-08-19_12:00,2037.08.19
2037.08.19.16,2037-08-19_16:00,2037.08.19
2037.08.19.20,2037-08-19_20:00,2037.08.19
2037.09.20.00,2037-09-20_00:00,2037.09.20
2037.09.20.04,2037-09-20_04:00,2037.09.20
2037.09.20.08,2037-09-20_08:00,2037.09.20
2037.09.20.12,2037-09-20_12:00,2037.09.20
2037.09.20.16,2037-09-20_16:00,2037.09.20
2037.09.20.20,2037-09-20_20:00,2037.09.20
2037.10.26.00,2037-10-26_00:00,2037.10.26
2037.10.26.04,2037-10-26_04:00,2037.10.26
2037.10.26.08,2037-10-26_08:00,2037.10.26
2037.10.26.12,2037-10-26_12:00,2037.10.26
2037.10.26.16,2037-10-26_16:00,2037.10.26
2037.10.26.20,2037-10-26_20:00,2037.10.26
2037.11.19.00,2037-11-19_00:00,2037.11.19
2037.11.19.04,2037-11-19_04:00,2037.11.19
2037.11.19.08,2037-11-19_08:00,2037.11.19
2037.11.19.12,2037-11-19_12:00,2037.11.19
2037.11.19.16,2037-11-19_16:00,2037.11.19
2037.11.19.20,2037-11-19_20:00,2037.11.19
2037.12.16.00,2037-12-16_00:00,2037.12.16
2037.12.16.04,2037-12-16_04:00,2037.12.16
2037.12.16.08,2037-12-16_08:00,2037.12.16
2037.12.16.12,2037-12-16_12:00,2037.12.16
2037.12.16.16,2037-12-16_16:00,2037.12.16
2037.12.16.20,2037-12-16_20:00,2037.12.16
2042.01.22.00,2042-01-22_00:00,2042.01.22
2042.01.22.04,2042-01-22_04:00,2042.01.22
2042.01.22.08,2042-01-22_08:00,2042.01.22
2042.01.22.12,2042-01-22_12:00,2042.01.22
2042.01.22.16,2042-01-22_16:00,2042.01.22
2042.01.22.20,2042-01-22_20:00,2042.01.22
2042.02.08.00,2042-02-08_00:00,2042.02.08
2042.02.08.04,2042-02-08_04:00,2042.02.08
2042.02.08.08,2042-02-08_08:00,2042.02.08
2042.02.08.12,2042-02-08_12:00,2042.02.08
2042.02.08.16,2042-02-08_16:00,2042.02.08
2042.02.08.20,2042-02-08_20:00,2042.02.08
2042.03.21.00,2042-03-21_00:00,2042.03.21
2042.03.21.04,2042-03-21_04:00,2042.03.21
2042.03.21.08,2042-03-21_08:00,2042.03.21
2042.03.21.12,2042-03-21_12:00,2042.03.21
2042.03.21.16,2042-03-21_16:00,2042.03.21
2042.03.21.20,2042-03-21_20:00,2042.03.21
2042.04.11.00,2042-04-11_00:00,2042.04.11
2042.04.11.04,2042-04-11_04:00,2042.04.11
2042.04.11.08,2042-04-11_08:00,2042.04.11
2042.04.11.12,2042-04-11_12:00,2042.04.11
2042.04.11.16,2042-04-11_16:00,2042.04.11
2042.04.11.20,2042-04-11_20:00,2042.04.11
2042.05.22.00,2042-05-22_00:00,2042.05.22
2042.05.22.04,2042-05-22_04:00,2042.05.22
2042.05.22.08,2042-05-22_08:00,2042.05.22
2042.05.22.12,2042-05-22_12:00,2042.05.22
2042.05.22.16,2042-05-22_16:00,2042.05.22
2042.05.22.20,2042-05-22_20:00,2042.05.22
