LOAD_ZONE,PERIOD,zone_expected_coincident_peak_demand
Shanghai,2020,29829.51899072992
Shanghai,2025,39860.75390625
Shanghai,2030,46209.53858556808
Shanghai,2035,52281.85146959793
Shanghai,2040,56322.40228165663
Shanghai,2045,57744.61351845479
Shanghai,2050,58324.374062370574
Shanghai,2055,58616.57975995843
Shanghai,2060,58616.57975995843
Jiangsu,2020,113125.0
Jiangsu,2025,143786.59375
Jiangsu,2030,166688.07036628143
Jiangsu,2035,188592.25180330113
Jiangsu,2040,203167.4161242304
Jiangsu,2045,208297.64797617032
Jiangsu,2050,210388.97304233338
Jiangsu,2055,211443.02390221722
Jiangsu,2060,211443.02390221722
Zhejiang,2020,85929.8771954255
Zhejiang,2025,120635.9453125
Zhejiang,2030,139850.12382945386
Zhejiang,2035,158227.57867441492
Zhejiang,2040,170456.03947930358
Zhejiang,2045,174760.26807941304
Zhejiang,2050,176514.8751657382
Zhejiang,2055,177399.21645634994
Zhejiang,2060,177399.21645634994
Anhui,2020,41830.0
Anhui,2025,59769.97265625
Anhui,2030,69289.77972201054
Anhui,2035,78395.02584686497
Anhui,2040,84453.70732892973
Anhui,2045,86586.26927030107
Anhui,2050,87455.60234760611
Anhui,2055,87893.75579036094
Anhui,2060,87893.75579036094
Fujian,2020,40753.7956331911
Fujian,2025,55033.59375
Fujian,2030,63799.01844993352
Fujian,2035,72182.73344861527
Fujian,2040,77761.30410084283
Fujian,2045,79724.87447426627
Fujian,2050,80525.3185983584
Fujian,2055,80928.75125019201
Fujian,2060,80928.75125019201
Sichuan,2020,45012.0
Sichuan,2025,67829.75
Sichuan,2030,78633.27064125043
Sichuan,2035,88966.32820996195
Sichuan,2040,95842.0022649192
Sichuan,2045,98262.13292441695
Sichuan,2050,99248.69260781285
Sichuan,2055,99745.9295507612
Sichuan,2060,99745.9295507612
