GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
Anhui-Battery_Storage-11177,2020,Battery_Storage,Anhui,Storage,4.17915e-06,1.67166e-05,6.22258
Anhui-Battery_Storage-11177,2025,Battery_Storage,Anhui,Storage,1.32328e-06,5.29313e-06,1.97031
Anhui-Battery_Storage-11177,2030,Battery_Storage,Anhui,Storage,3.76512e-06,1.50605e-05,5.08143
Anhui-Battery_Storage-11177,2035,Battery_Storage,Anhui,Storage,9.17068e-06,3.66827e-05,12.212
Anhui-Battery_Storage-11177,2040,Battery_Storage,Anhui,Storage,1.5653e-05,6.26122e-05,20.8442
Anhui-Battery_Storage-11177,2045,Battery_Storage,Anhui,Storage,1.71816e-05,6.87265e-05,22.8797
Anhui-Battery_Storage-11177,2050,Battery_Storage,Anhui,Storage,3.33345e-05,0.000133338,44.3895
Anhui-Battery_Storage-11177,2055,Battery_Storage,Anhui,Storage,0.00235921,0.00943683,3141.61
Anhui-Battery_Storage-11177,2060,Battery_Storage,Anhui,Storage,9403.8,37615.2,1.25225e+10
Anhui-Central_PV-401,2020,Central_PV,Anhui,Solar,1.14617e-06,.,1.37884
Anhui-Central_PV-401,2025,Central_PV,Anhui,Solar,5.81852e-07,.,0.699968
Anhui-Central_PV-401,2030,Central_PV,Anhui,Solar,8.31655e-07,.,1.00048
Anhui-Central_PV-401,2035,Central_PV,Anhui,Solar,1.26888e-06,.,1.52646
Anhui-Central_PV-401,2040,Central_PV,Anhui,Solar,3.67506e-06,.,4.4211
Anhui-Central_PV-401,2045,Central_PV,Anhui,Solar,3.67441e-06,.,4.42031
Anhui-Central_PV-401,2050,Central_PV,Anhui,Solar,5.60311e-06,.,6.74054
Anhui-Central_PV-401,2055,Central_PV,Anhui,Solar,1.16754e-05,.,14.0455
Anhui-Central_PV-401,2060,Central_PV,Anhui,Solar,1.64913e-05,.,19.839
Anhui-Central_PV-402,2020,Central_PV,Anhui,Solar,1.14617e-06,.,1.37884
Anhui-Central_PV-402,2025,Central_PV,Anhui,Solar,5.81852e-07,.,0.699968
Anhui-Central_PV-402,2030,Central_PV,Anhui,Solar,8.31654e-07,.,1.00048
Anhui-Central_PV-402,2035,Central_PV,Anhui,Solar,1.26888e-06,.,1.52646
Anhui-Central_PV-402,2040,Central_PV,Anhui,Solar,3.67506e-06,.,4.4211
Anhui-Central_PV-402,2045,Central_PV,Anhui,Solar,3.67441e-06,.,4.42032
Anhui-Central_PV-402,2050,Central_PV,Anhui,Solar,5.60311e-06,.,6.74054
Anhui-Central_PV-402,2055,Central_PV,Anhui,Solar,1.16754e-05,.,14.0455
Anhui-Central_PV-402,2060,Central_PV,Anhui,Solar,1.64913e-05,.,19.839
Anhui-Central_PV-403,2020,Central_PV,Anhui,Solar,1.14617e-06,.,1.37884
Anhui-Central_PV-403,2025,Central_PV,Anhui,Solar,5.81852e-07,.,0.699968
Anhui-Central_PV-403,2030,Central_PV,Anhui,Solar,8.31654e-07,.,1.00048
Anhui-Central_PV-403,2035,Central_PV,Anhui,Solar,1.26888e-06,.,1.52646
Anhui-Central_PV-403,2040,Central_PV,Anhui,Solar,3.67506e-06,.,4.4211
Anhui-Central_PV-403,2045,Central_PV,Anhui,Solar,3.67441e-06,.,4.42032
Anhui-Central_PV-403,2050,Central_PV,Anhui,Solar,5.60311e-06,.,6.74054
Anhui-Central_PV-403,2055,Central_PV,Anhui,Solar,1.16754e-05,.,14.0455
Anhui-Central_PV-403,2060,Central_PV,Anhui,Solar,1.64913e-05,.,19.839
Anhui-Central_PV-404,2020,Central_PV,Anhui,Solar,1.14617e-06,.,1.37884
Anhui-Central_PV-404,2025,Central_PV,Anhui,Solar,5.81852e-07,.,0.699968
Anhui-Central_PV-404,2030,Central_PV,Anhui,Solar,8.31655e-07,.,1.00048
Anhui-Central_PV-404,2035,Central_PV,Anhui,Solar,1.26888e-06,.,1.52646
Anhui-Central_PV-404,2040,Central_PV,Anhui,Solar,3.67506e-06,.,4.4211
Anhui-Central_PV-404,2045,Central_PV,Anhui,Solar,3.67441e-06,.,4.42031
Anhui-Central_PV-404,2050,Central_PV,Anhui,Solar,5.60311e-06,.,6.74054
Anhui-Central_PV-404,2055,Central_PV,Anhui,Solar,1.16754e-05,.,14.0455
Anhui-Central_PV-404,2060,Central_PV,Anhui,Solar,1.64913e-05,.,19.839
Anhui-Coal_1000_OT-12107,2020,Coal_1000_OT,Anhui,Coal,6.30341e-06,.,3.46743
Anhui-Coal_1000_OT-12107,2025,Coal_1000_OT,Anhui,Coal,3.01789e-06,.,1.6601
Anhui-Coal_1000_OT-12107,2030,Coal_1000_OT,Anhui,Coal,4.37112e-06,.,2.4045
Anhui-Coal_1000_OT-12107,2035,Coal_1000_OT,Anhui,Coal,7.08494e-06,.,3.89733
Anhui-Coal_1000_OT-12107,2040,Coal_1000_OT,Anhui,Coal,11982,.,6.59115e+09
Anhui-Coal_1000_OT-12107,2045,Coal_1000_OT,Anhui,Coal,5721.26,.,3.14719e+09
Anhui-Coal_1000_OT-12107,2050,Coal_1000_OT,Anhui,Coal,19081.2,.,1.04963e+10
Anhui-Coal_1000_OT-12107,2055,Coal_1000_OT,Anhui,Coal,17516.5,.,9.63562e+09
Anhui-Coal_1000_OT-12107,2060,Coal_1000_OT,Anhui,Coal,4677.31,.,2.57293e+09
Anhui-Coal_1000_RC-12115,2020,Coal_1000_RC,Anhui,Coal,6.03953e-06,.,3.49624
Anhui-Coal_1000_RC-12115,2025,Coal_1000_RC,Anhui,Coal,2.89136e-06,.,1.67379
Anhui-Coal_1000_RC-12115,2030,Coal_1000_RC,Anhui,Coal,4.18843e-06,.,2.42465
Anhui-Coal_1000_RC-12115,2035,Coal_1000_RC,Anhui,Coal,6.76055e-06,.,3.91363
Anhui-Coal_1000_RC-12115,2040,Coal_1000_RC,Anhui,Coal,0.000237892,.,137.714
Anhui-Coal_1000_RC-12115,2045,Coal_1000_RC,Anhui,Coal,0.00013055,.,75.5745
Anhui-Coal_1000_RC-12115,2050,Coal_1000_RC,Anhui,Coal,0.000167542,.,96.9887
Anhui-Coal_1000_RC-12115,2055,Coal_1000_RC,Anhui,Coal,0.000195942,.,113.429
