GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
Anhui-Battery_Storage-11177,2020,Battery_Storage,Anhui,Storage,4.17915e-06,0,1.67166e-05,0.726982,0.0560884
Anhui-Battery_Storage-11177,2025,Battery_Storage,Anhui,Storage,5.50244e-06,0,2.20097e-05,0.957172,0.0738482
Anhui-Battery_Storage-11177,2030,Battery_Storage,Anhui,Storage,9.26756e-06,0,3.70702e-05,1.55083,0.11964
Anhui-Battery_Storage-11177,2035,Battery_Storage,Anhui,Storage,1.42591e-05,0,5.70363e-05,2.25058,0.173599
Anhui-Battery_Storage-11177,2040,Battery_Storage,Anhui,Storage,2.85888e-05,0,0.000114355,4.45561,0.343676
Anhui-Battery_Storage-11177,2045,Battery_Storage,Anhui,Storage,4.20053e-05,0,0.000168021,6.53498,0.504064
Anhui-Battery_Storage-11177,2050,Battery_Storage,Anhui,Storage,6.61691e-05,0,0.000264677,10.2943,0.79403
Anhui-Battery_Storage-11177,2055,Battery_Storage,Anhui,Storage,0.00240972,0,0.00963889,374.892,28.9167
Anhui-Battery_Storage-11177,2060,Battery_Storage,Anhui,Storage,9403.8,0,37615.2,1.463e+09,1.12846e+08
Anhui-Central_PV-401,2020,Central_PV,Anhui,Solar,1.14617e-06,0,.,0.140438,0.013754
Anhui-Central_PV-401,2025,Central_PV,Anhui,Solar,1.72802e-06,0,.,0.211731,0.0207363
Anhui-Central_PV-401,2030,Central_PV,Anhui,Solar,2.55968e-06,0,.,0.313632,0.0307161
Anhui-Central_PV-401,2035,Central_PV,Anhui,Solar,3.82856e-06,0,.,0.469106,0.0459427
Anhui-Central_PV-401,2040,Central_PV,Anhui,Solar,6.35745e-06,0,.,0.778967,0.0762894
Anhui-Central_PV-401,2045,Central_PV,Anhui,Solar,9.45001e-06,0,.,1.15789,0.1134
Anhui-Central_PV-401,2050,Central_PV,Anhui,Solar,1.42215e-05,0,.,1.74253,0.170658
Anhui-Central_PV-401,2055,Central_PV,Anhui,Solar,2.4628e-05,0,.,3.01762,0.295536
Anhui-Central_PV-401,2060,Central_PV,Anhui,Solar,3.74442e-05,0,.,4.58797,0.449331
Anhui-Central_PV-402,2020,Central_PV,Anhui,Solar,1.14617e-06,0,.,0.140438,0.013754
Anhui-Central_PV-402,2025,Central_PV,Anhui,Solar,1.72802e-06,0,.,0.211731,0.0207363
Anhui-Central_PV-402,2030,Central_PV,Anhui,Solar,2.55968e-06,0,.,0.313632,0.0307161
Anhui-Central_PV-402,2035,Central_PV,Anhui,Solar,3.82856e-06,0,.,0.469106,0.0459427
Anhui-Central_PV-402,2040,Central_PV,Anhui,Solar,6.35745e-06,0,.,0.778967,0.0762894
Anhui-Central_PV-402,2045,Central_PV,Anhui,Solar,9.45001e-06,0,.,1.15789,0.1134
Anhui-Central_PV-402,2050,Central_PV,Anhui,Solar,1.42215e-05,0,.,1.74253,0.170658
Anhui-Central_PV-402,2055,Central_PV,Anhui,Solar,2.4628e-05,0,.,3.01762,0.295536
Anhui-Central_PV-402,2060,Central_PV,Anhui,Solar,3.74442e-05,0,.,4.58797,0.449331
Anhui-Central_PV-403,2020,Central_PV,Anhui,Solar,1.14617e-06,0,.,0.140438,0.013754
Anhui-Central_PV-403,2025,Central_PV,Anhui,Solar,1.72802e-06,0,.,0.211731,0.0207363
Anhui-Central_PV-403,2030,Central_PV,Anhui,Solar,2.55968e-06,0,.,0.313632,0.0307161
Anhui-Central_PV-403,2035,Central_PV,Anhui,Solar,3.82856e-06,0,.,0.469106,0.0459427
Anhui-Central_PV-403,2040,Central_PV,Anhui,Solar,6.35745e-06,0,.,0.778967,0.0762894
Anhui-Central_PV-403,2045,Central_PV,Anhui,Solar,9.45001e-06,0,.,1.15789,0.1134
Anhui-Central_PV-403,2050,Central_PV,Anhui,Solar,1.42215e-05,0,.,1.74253,0.170658
Anhui-Central_PV-403,2055,Central_PV,Anhui,Solar,2.4628e-05,0,.,3.01762,0.295536
Anhui-Central_PV-403,2060,Central_PV,Anhui,Solar,3.74442e-05,0,.,4.58797,0.449331
Anhui-Central_PV-404,2020,Central_PV,Anhui,Solar,1.14617e-06,0,.,0.140438,0.013754
Anhui-Central_PV-404,2025,Central_PV,Anhui,Solar,1.72802e-06,0,.,0.211731,0.0207363
Anhui-Central_PV-404,2030,Central_PV,Anhui,Solar,2.55968e-06,0,.,0.313632,0.0307161
Anhui-Central_PV-404,2035,Central_PV,Anhui,Solar,3.82856e-06,0,.,0.469106,0.0459427
Anhui-Central_PV-404,2040,Central_PV,Anhui,Solar,6.35745e-06,0,.,0.778967,0.0762894
Anhui-Central_PV-404,2045,Central_PV,Anhui,Solar,9.45001e-06,0,.,1.15789,0.1134
Anhui-Central_PV-404,2050,Central_PV,Anhui,Solar,1.42215e-05,0,.,1.74253,0.170658
Anhui-Central_PV-404,2055,Central_PV,Anhui,Solar,2.4628e-05,0,.,3.01762,0.295536
Anhui-Central_PV-404,2060,Central_PV,Anhui,Solar,3.74442e-05,0,.,4.58797,0.449331
Anhui-Coal_1000_OT-12107,2020,Coal_1000_OT,Anhui,Coal,6.30341e-06,0,.,0.290779,0.0317944
Anhui-Coal_1000_OT-12107,2025,Coal_1000_OT,Anhui,Coal,9.3213e-06,0,.,0.429995,0.0470167
Anhui-Coal_1000_OT-12107,2030,Coal_1000_OT,Anhui,Coal,1.36924e-05,0,.,0.631637,0.0690646
Anhui-Coal_1000_OT-12107,2035,Coal_1000_OT,Anhui,Coal,2.07774e-05,0,.,0.958468,0.104801
Anhui-Coal_1000_OT-12107,2040,Coal_1000_OT,Anhui,Coal,11982,0,.,5.52735e+08,6.04373e+07
Anhui-Coal_1000_OT-12107,2045,Coal_1000_OT,Anhui,Coal,17703.3,0,.,8.16658e+08,8.92953e+07
Anhui-Coal_1000_OT-12107,2050,Coal_1000_OT,Anhui,Coal,36784.5,0,.,1.69688e+09,1.85541e+08
Anhui-Coal_1000_OT-12107,2055,Coal_1000_OT,Anhui,Coal,54301,0,.,2.50493e+09,2.73894e+08
Anhui-Coal_1000_OT-12107,2060,Coal_1000_OT,Anhui,Coal,58978.4,0,.,2.72069e+09,2.97487e+08
Anhui-Coal_1000_RC-12115,2020,Coal_1000_RC,Anhui,Coal,6.03953e-06,0,.,0.293195,0.0320639
Anhui-Coal_1000_RC-12115,2025,Coal_1000_RC,Anhui,Coal,8.9309e-06,0,.,0.433559,0.0474141
Anhui-Coal_1000_RC-12115,2030,Coal_1000_RC,Anhui,Coal,1.31193e-05,0,.,0.636891,0.0696505
Anhui-Coal_1000_RC-12115,2035,Coal_1000_RC,Anhui,Coal,1.98799e-05,0,.,0.965088,0.105542
Anhui-Coal_1000_RC-12115,2040,Coal_1000_RC,Anhui,Coal,0.000257772,0,.,12.5138,1.36851
Anhui-Coal_1000_RC-12115,2045,Coal_1000_RC,Anhui,Coal,0.000388323,0,.,18.8515,2.06161
Anhui-Coal_1000_RC-12115,2050,Coal_1000_RC,Anhui,Coal,0.000555865,0,.,26.985,2.95109
Anhui-Coal_1000_RC-12115,2055,Coal_1000_RC,Anhui,Coal,0.000751806,0,.,36.4972,3.99134
Anhui-Coal_1000_RC-12115,2060,Coal_1000_RC,Anhui,Coal,0.00103506,0,.,50.2478,5.49511
Anhui-Coal_1000_RC-12125,2020,Coal_1000_RC,Anhui,Coal,6.29241e-06,0,.,0.305471,0.0334064
Anhui-Coal_1000_RC-12125,2025,Coal_1000_RC,Anhui,Coal,9.2928e-06,0,.,0.451128,0.0493355
Anhui-Coal_1000_RC-12125,2030,Coal_1000_RC,Anhui,Coal,1.31318e-05,0,.,0.637494,0.0697165
Anhui-Coal_1000_RC-12125,2035,Coal_1000_RC,Anhui,Coal,1.98792e-05,0,.,0.965054,0.105539
Anhui-Coal_1000_RC-12125,2040,Coal_1000_RC,Anhui,Coal,0.000257604,0,.,12.5057,1.36762
Anhui-Coal_1000_RC-12125,2045,Coal_1000_RC,Anhui,Coal,0.000382197,0,.,18.5541,2.02909
Anhui-Coal_1000_RC-12125,2050,Coal_1000_RC,Anhui,Coal,0.000548432,0,.,26.6242,2.91163
Anhui-Coal_1000_RC-12125,2055,Coal_1000_RC,Anhui,Coal,0.000750309,0,.,36.4245,3.98339
Anhui-Coal_1000_RC-12125,2060,Coal_1000_RC,Anhui,Coal,0.00103351,0,.,50.1726,5.48689
Anhui-Coal_300_OT-12111,2020,Coal_300_OT,Anhui,Coal,4.68091e-06,0,.,0.237733,0.0266297
Anhui-Coal_300_OT-12111,2025,Coal_300_OT,Anhui,Coal,6.77305e-06,0,.,0.343989,0.0385319
Anhui-Coal_300_OT-12111,2030,Coal_300_OT,Anhui,Coal,1.0319e-05,0,.,0.524079,0.0587047
Anhui-Coal_300_OT-12111,2035,Coal_300_OT,Anhui,Coal,1.55531e-05,0,.,0.789911,0.0884818
Anhui-Coal_300_OT-12111,2040,Coal_300_OT,Anhui,Coal,0.000121005,0,.,6.14559,0.688398
Anhui-Coal_300_OT-12111,2045,Coal_300_OT,Anhui,Coal,0.000179262,0,.,9.10432,1.01982
Anhui-Coal_300_OT-12111,2050,Coal_300_OT,Anhui,Coal,0.000255781,0,.,12.9906,1.45514
Anhui-Coal_300_OT-12111,2055,Coal_300_OT,Anhui,Coal,0.000342333,0,.,17.3864,1.94753
Anhui-Coal_300_OT-12111,2060,Coal_300_OT,Anhui,Coal,0.000482417,0,.,24.5009,2.74447
Anhui-Coal_300_RC-12119,2020,Coal_300_RC,Anhui,Coal,4.55909e-06,0,.,0.246599,0.0276235
Anhui-Coal_300_RC-12119,2025,Coal_300_RC,Anhui,Coal,6.86247e-06,0,.,0.371188,0.0415797
Anhui-Coal_300_RC-12119,2030,Coal_300_RC,Anhui,Coal,1.02386e-05,0,.,0.553801,0.0620355
Anhui-Coal_300_RC-12119,2035,Coal_300_RC,Anhui,Coal,1.53957e-05,0,.,0.832747,0.0932825
Anhui-Coal_300_RC-12119,2040,Coal_300_RC,Anhui,Coal,8.46508e-05,0,.,4.57873,0.512899
Anhui-Coal_300_RC-12119,2045,Coal_300_RC,Anhui,Coal,0.000124883,0,.,6.75489,0.756668
Anhui-Coal_300_RC-12119,2050,Coal_300_RC,Anhui,Coal,0.00017697,0,.,9.57226,1.07226
Anhui-Coal_300_RC-12119,2055,Coal_300_RC,Anhui,Coal,0.000229408,0,.,12.4086,1.38998
Anhui-Coal_300_RC-12119,2060,Coal_300_RC,Anhui,Coal,0.000311014,0,.,16.8226,1.88443
Anhui-Coal_300_RC-12129,2020,Coal_300_RC,Anhui,Coal,4.55684e-06,0,.,0.246478,0.0276099
Anhui-Coal_300_RC-12129,2025,Coal_300_RC,Anhui,Coal,6.72283e-06,0,.,0.363635,0.0407337
Anhui-Coal_300_RC-12129,2030,Coal_300_RC,Anhui,Coal,9.83777e-06,0,.,0.532121,0.059607
Anhui-Coal_300_RC-12129,2035,Coal_300_RC,Anhui,Coal,1.4793e-05,0,.,0.800147,0.0896307
Anhui-Coal_300_RC-12129,2040,Coal_300_RC,Anhui,Coal,8.2511e-05,0,.,4.46299,0.499934
Anhui-Coal_300_RC-12129,2045,Coal_300_RC,Anhui,Coal,0.000121719,0,.,6.58371,0.737493
Anhui-Coal_300_RC-12129,2050,Coal_300_RC,Anhui,Coal,0.000170248,0,.,9.20867,1.03154
Anhui-Coal_300_RC-12129,2055,Coal_300_RC,Anhui,Coal,0.000223017,0,.,12.0629,1.35126
Anhui-Coal_300_RC-12129,2060,Coal_300_RC,Anhui,Coal,0.000306276,0,.,16.5663,1.85572
Anhui-Coal_600_OT-12109,2020,Coal_600_OT,Anhui,Coal,5.39735e-06,0,.,0.259201,0.0283415
