GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
Anhui-Battery_Storage-11177,2020,Battery_Storage,Anhui,Storage,3.15586e-06,1.26234e-05,4.69894
Anhui-Battery_Storage-11177,2025,Battery_Storage,Anhui,Storage,9.47014e-07,3.78806e-06,1.41006
Anhui-Battery_Storage-11177,2030,Battery_Storage,Anhui,Storage,2.5874e-06,1.03496e-05,3.49197
Anhui-Battery_Storage-11177,2035,Battery_Storage,Anhui,Storage,6.4367e-06,2.57468e-05,8.57136
Anhui-Battery_Storage-11177,2040,Battery_Storage,Anhui,Storage,7.38298e-06,2.95319e-05,9.83147
Anhui-Battery_Storage-11177,2045,Battery_Storage,Anhui,Storage,1.0224e-05,4.08961e-05,13.6147
Anhui-Battery_Storage-11177,2050,Battery_Storage,Anhui,Storage,3.08093e-05,0.000123237,41.0269
Anhui-Battery_Storage-11177,2055,Battery_Storage,Anhui,Storage,9.41937e-05,0.000376775,125.432
Anhui-Battery_Storage-11177,2060,Battery_Storage,Anhui,Storage,2682.02,10728.1,3.57149e+09
Anhui-Central_PV-401,2020,Central_PV,Anhui,Solar,1.41429e-06,.,1.70139
Anhui-Central_PV-401,2025,Central_PV,Anhui,Solar,1.18697e-06,.,1.42793
Anhui-Central_PV-401,2030,Central_PV,Anhui,Solar,8134.27,.,9.78553e+09
Anhui-Central_PV-401,2035,Central_PV,Anhui,Solar,365.729,.,4.39972e+08
Anhui-Central_PV-401,2040,Central_PV,Anhui,Solar,2.40835e-08,.,0.0289724
Anhui-Central_PV-401,2045,Central_PV,Anhui,Solar,4.68858e-08,.,0.0564036
Anhui-Central_PV-401,2050,Central_PV,Anhui,Solar,1.29735e-07,.,0.156071
Anhui-Central_PV-401,2055,Central_PV,Anhui,Solar,1.73132e-05,.,20.8278
Anhui-Central_PV-401,2060,Central_PV,Anhui,Solar,1.19796e-05,.,14.4114
Anhui-Central_PV-402,2020,Central_PV,Anhui,Solar,1.41429e-06,.,1.70139
Anhui-Central_PV-402,2025,Central_PV,Anhui,Solar,1.18697e-06,.,1.42793
Anhui-Central_PV-402,2030,Central_PV,Anhui,Solar,8134.27,.,9.78553e+09
Anhui-Central_PV-402,2035,Central_PV,Anhui,Solar,365.729,.,4.39972e+08
Anhui-Central_PV-402,2040,Central_PV,Anhui,Solar,2.40835e-08,.,0.0289724
Anhui-Central_PV-402,2045,Central_PV,Anhui,Solar,4.68857e-08,.,0.0564034
Anhui-Central_PV-402,2050,Central_PV,Anhui,Solar,1.29735e-07,.,0.156071
Anhui-Central_PV-402,2055,Central_PV,Anhui,Solar,1.73133e-05,.,20.8278
Anhui-Central_PV-402,2060,Central_PV,Anhui,Solar,1.19796e-05,.,14.4115
Anhui-Central_PV-403,2020,Central_PV,Anhui,Solar,1.41429e-06,.,1.70139
Anhui-Central_PV-403,2025,Central_PV,Anhui,Solar,1.18697e-06,.,1.42793
Anhui-Central_PV-403,2030,Central_PV,Anhui,Solar,8134.27,.,9.78553e+09
Anhui-Central_PV-403,2035,Central_PV,Anhui,Solar,365.729,.,4.39972e+08
