GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
Anhui-Battery_Storage-11177,2020,Battery_Storage,Anhui,Storage,3.15586e-06,0,1.26234e-05,0.548975,0.0423548
Anhui-Battery_Storage-11177,2025,Battery_Storage,Anhui,Storage,4.10287e-06,0,1.64115e-05,0.713712,0.0550647
Anhui-Battery_Storage-11177,2030,Battery_Storage,Anhui,Storage,6.69027e-06,0,2.67611e-05,1.12168,0.0865326
Anhui-Battery_Storage-11177,2035,Battery_Storage,Anhui,Storage,9.97111e-06,0,3.98844e-05,1.57409,0.121418
Anhui-Battery_Storage-11177,2040,Battery_Storage,Anhui,Storage,1.64071e-05,0,6.56283e-05,2.55796,0.197304
Anhui-Battery_Storage-11177,2045,Battery_Storage,Anhui,Storage,2.40437e-05,0,9.61749e-05,3.7406,0.288525
Anhui-Battery_Storage-11177,2050,Battery_Storage,Anhui,Storage,4.84163e-05,0,0.000193665,7.53236,0.580996
Anhui-Battery_Storage-11177,2055,Battery_Storage,Anhui,Storage,0.000135227,0,0.000540908,21.0379,1.62272
Anhui-Battery_Storage-11177,2060,Battery_Storage,Anhui,Storage,2682.02,0,10728.1,4.17255e+08,3.21842e+07
Anhui-Central_PV-401,2020,Central_PV,Anhui,Solar,1.41429e-06,0,.,0.17329,0.0169714
Anhui-Central_PV-401,2025,Central_PV,Anhui,Solar,2.60126e-06,0,.,0.318728,0.0312151
Anhui-Central_PV-401,2030,Central_PV,Anhui,Solar,8134.27,0,.,9.96678e+08,9.76112e+07
Anhui-Central_PV-401,2035,Central_PV,Anhui,Solar,8500,0,.,1.04149e+09,1.02e+08
Anhui-Central_PV-401,2040,Central_PV,Anhui,Solar,8500,0,.,1.04149e+09,1.02e+08
Anhui-Central_PV-401,2045,Central_PV,Anhui,Solar,8500,0,.,1.04149e+09,1.02e+08
Anhui-Central_PV-401,2050,Central_PV,Anhui,Solar,365.729,0,.,4.48121e+07,4.38875e+06
Anhui-Central_PV-401,2055,Central_PV,Anhui,Solar,1.75139e-05,0,.,2.14595,0.210167
Anhui-Central_PV-401,2060,Central_PV,Anhui,Solar,2.94694e-05,0,.,3.61083,0.353633
Anhui-Central_PV-402,2020,Central_PV,Anhui,Solar,1.41429e-06,0,.,0.17329,0.0169714
Anhui-Central_PV-402,2025,Central_PV,Anhui,Solar,2.60126e-06,0,.,0.318728,0.0312151
Anhui-Central_PV-402,2030,Central_PV,Anhui,Solar,8134.27,0,.,9.96678e+08,9.76113e+07
Anhui-Central_PV-402,2035,Central_PV,Anhui,Solar,8500,0,.,1.04149e+09,1.02e+08
Anhui-Central_PV-402,2040,Central_PV,Anhui,Solar,8500,0,.,1.04149e+09,1.02e+08
Anhui-Central_PV-402,2045,Central_PV,Anhui,Solar,8500,0,.,1.04149e+09,1.02e+08
Anhui-Central_PV-402,2050,Central_PV,Anhui,Solar,365.729,0,.,4.48121e+07,4.38874e+06
Anhui-Central_PV-402,2055,Central_PV,Anhui,Solar,1.7514e-05,0,.,2.14595,0.210167
Anhui-Central_PV-402,2060,Central_PV,Anhui,Solar,2.94695e-05,0,.,3.61084,0.353634
Anhui-Central_PV-403,2020,Central_PV,Anhui,Solar,1.41429e-06,0,.,0.17329,0.0169714
Anhui-Central_PV-403,2025,Central_PV,Anhui,Solar,2.60126e-06,0,.,0.318728,0.0312151
Anhui-Central_PV-403,2030,Central_PV,Anhui,Solar,8134.27,0,.,9.96678e+08,9.76113e+07
Anhui-Central_PV-403,2035,Central_PV,Anhui,Solar,8500,0,.,1.04149e+09,1.02e+08
Anhui-Central_PV-403,2040,Central_PV,Anhui,Solar,8500,0,.,1.04149e+09,1.02e+08
Anhui-Central_PV-403,2045,Central_PV,Anhui,Solar,8500,0,.,1.04149e+09,1.02e+08
Anhui-Central_PV-403,2050,Central_PV,Anhui,Solar,365.729,0,.,4.48121e+07,4.38874e+06
Anhui-Central_PV-403,2055,Central_PV,Anhui,Solar,1.75139e-05,0,.,2.14595,0.210167
Anhui-Central_PV-403,2060,Central_PV,Anhui,Solar,2.94694e-05,0,.,3.61083,0.353633
Anhui-Central_PV-404,2020,Central_PV,Anhui,Solar,1.41429e-06,0,.,0.17329,0.0169714
Anhui-Central_PV-404,2025,Central_PV,Anhui,Solar,2.60126e-06,0,.,0.318728,0.0312151
Anhui-Central_PV-404,2030,Central_PV,Anhui,Solar,8143.27,0,.,9.9778e+08,9.77192e+07
Anhui-Central_PV-404,2035,Central_PV,Anhui,Solar,8500,0,.,1.04149e+09,1.02e+08
Anhui-Central_PV-404,2040,Central_PV,Anhui,Solar,8500,0,.,1.04149e+09,1.02e+08
Anhui-Central_PV-404,2045,Central_PV,Anhui,Solar,8500,0,.,1.04149e+09,1.02e+08
Anhui-Central_PV-404,2050,Central_PV,Anhui,Solar,356.732,0,.,4.37098e+07,4.28079e+06
Anhui-Central_PV-404,2055,Central_PV,Anhui,Solar,1.75139e-05,0,.,2.14595,0.210167
Anhui-Central_PV-404,2060,Central_PV,Anhui,Solar,2.94694e-05,0,.,3.61083,0.353633
Anhui-Coal_1000_OT-12107,2020,Coal_1000_OT,Anhui,Coal,4.79586e-06,0,.,0.221235,0.0241903
Anhui-Coal_1000_OT-12107,2025,Coal_1000_OT,Anhui,Coal,6.94408e-06,0,.,0.320333,0.0350259
Anhui-Coal_1000_OT-12107,2030,Coal_1000_OT,Anhui,Coal,9.46691e-06,0,.,0.436712,0.0477511
Anhui-Coal_1000_OT-12107,2035,Coal_1000_OT,Anhui,Coal,1.17198e-05,0,.,0.540637,0.0591145
Anhui-Coal_1000_OT-12107,2040,Coal_1000_OT,Anhui,Coal,2.23723e-05,0,.,1.03204,0.112846
Anhui-Coal_1000_OT-12107,2045,Coal_1000_OT,Anhui,Coal,3.38801e-05,0,.,1.5629,0.170891
Anhui-Coal_1000_OT-12107,2050,Coal_1000_OT,Anhui,Coal,17228.8,0,.,7.94769e+08,8.69019e+07
Anhui-Coal_1000_OT-12107,2055,Coal_1000_OT,Anhui,Coal,54301,0,.,2.50493e+09,2.73894e+08
Anhui-Coal_1000_OT-12107,2060,Coal_1000_OT,Anhui,Coal,65565.7,0,.,3.02457e+09,3.30713e+08
Anhui-Coal_1000_RC-12115,2020,Coal_1000_RC,Anhui,Coal,4.60133e-06,0,.,0.223376,0.0244284
Anhui-Coal_1000_RC-12115,2025,Coal_1000_RC,Anhui,Coal,6.66624e-06,0,.,0.323619,0.035391
Anhui-Coal_1000_RC-12115,2030,Coal_1000_RC,Anhui,Coal,9.10351e-06,0,.,0.441939,0.0483305
Anhui-Coal_1000_RC-12115,2035,Coal_1000_RC,Anhui,Coal,1.12948e-05,0,.,0.548315,0.0599639
Anhui-Coal_1000_RC-12115,2040,Coal_1000_RC,Anhui,Coal,2.21288e-05,0,.,1.07427,0.117482
Anhui-Coal_1000_RC-12115,2045,Coal_1000_RC,Anhui,Coal,3.37995e-05,0,.,1.64083,0.179441
Anhui-Coal_1000_RC-12115,2050,Coal_1000_RC,Anhui,Coal,0.000441768,0,.,21.446,2.34534
